Puzzle,Solution
.8.......3.6.9.....2.7.1..6...31.7...6..4..23..78.......2..8.9......4...1.396...7,784653912316492578529781346258319764961547823437826159672138495895274631143965287
.8..9....65...1..3........99.3...2...7.....5...5....1...673...2...98.......1.2586,782693145659421873431857629943518267178269354265374918816735492524986731397142586
......2.8....1.7....3.92.5.8.7..1...4...39....2.4..8.1..1..4..359.............9..,165743298942518736783692154857261349416839572329475861271954683598326417634187925
..1...2.3...9...8........5.9..283.4.....75...........5.543.7..283..2.9...1...8...,491856273572934186386712459965283741123475698748169325654397812837521964219648537
8795....1....7.5..........3.2..5....5.7..13..9.3.67.....2..8......1...8.61....7..,879543621231679548465812973126354897547981362983267154352798416794136285618425739
...4...5.43...2.616........1..........7...4.22.3....1..2.7....3..18..7.....5.1.26,912468357435972861678315294159243678867159432243687519526794183391826745784531926
2..9.3..5.396...8...712..6.9..7....1..821.7........85..5.....1.....3..97...8.....,216983475439657182587124963945768321368215749172349856753496218824531697691872534
58..9.........3.....6.5.9.....81.43.4..9..5.16..5....9.2..4...5.53.2...........8.,582496317149783652376251948295817436438962571617534829821349765753628194964175283
97...........6....86.75.9.......6.8435.....6...7..3.....5..9.432...8..5.........9,972348516531962478864751932129576384358294167647813295715629843293487651486135729
.1..45..3..92.......8..72....2..1.............8...94.2...5....9843.9...1..17.8...,216945873579283146438167295762451938394826517185379462627514389843692751951738624
...4...7.6.28.......7..12......685.1..32....8.........1...4..8.7.4..21..8...5...4,351426879642897315987531246479368521513274968268915437135749682794682153826153794
.71......92....3..468...91....2.94.1.....8..6......72....7...8......46..6..83.1.7,371942865925681374468357912856279431237418596149563728514796283783124659692835147
.854....2....9.4.....7.8..1...2...47......5...7.8.......2..7....4.12.9..7..6.4.18,385416792617592483924738651531269847468371529279845136152987364846123975793654218
.6...3...78..4..........5.4.98..46..6.5.9.7.23...5...8...7....6...........7..84.9,564183297782945163913627584298374651645891732371256948459732816826419375137568429
5.....7..7.....685.....9......1.6...6.49.8.5........7.4.....3...31..5.9..6.3...18,542681739719432685386759241953176824674928153128543976495817362831265497267394518
28..7..1.16..3..7...7.8...46..4...3..7.21..6........5......7....4.8653.1.....1...,289674513164532879357189624621458937975213468438796152513947286742865391896321745
57...91.8..6..5..781...3...7............38....61...5.....9.6...6...5193..98.2....,573469128926185347814273695789514263452638719361792584235946871647851932198327456
1.52...7.9.4.37.5.3..1.59.4..2.....77.3..9..55....61.........19......4.........63,185294376924637851376185924812543697763819245549726138458362719637951482291478563
2....7..1.1...9.4.....2.97.7....4..6.....68..........29.6.8..2..85.....4..4.6.1..,298547631517639248643128975752814396439256817861973452976481523185392764324765189
..85...4..1..34.....5.71..36..9...5...7.83..9.....7.643.4..9..5........6.........,238596741716234598495871623681942357547683219923157864364729185872415936159368472
.4.6..5..53...2.9..72..8.......3.87..67.5...4...2...........6...28.........9.54..,849673521536142798172598346291436875367859214485217963954781632728364159613925487
..28..4..9..7..65...74.9.....9.5....67.9.4............39.......4.6...523..5.....6,132865479948732651567419382819253764673984215254671938391526847486197523725348196
72.64.35..315....4...1.....1.3....922....1..7...9...........423...4...69..9.....5,728649351631528974954173286183764592295381647467952138516897423372415869849236715
...4.6......173...4.........3...264.92..6...76...9.5.2.7..1.2.........6131...5...,781456923269173854453928176135782649928564317647391582874619235592837461316245798
8....4.59...2..........7.....29...7......5..2.1.8......3....1.4..14.2.8.49...87.3,827314659153296847946587231562941378389675412714823596238759164671432985495168723
..9...26.2.63....81...5.....3...4952894...3............2......96..49.5.........1.,379841265256379148148256793731684952894512376562937481427165839613498527985723614
58....1..3.286.........2....26..5....3...1.....5...43.......95....238..1.6......4,589473126312869547647152893426385719738941265195726438873614952954238671261597384
...2.3...59.....3.3...756...7.36.......8............966..9..72.9..1.2..31...8....,716293548594618237382475619475369182269841375831527496658934721947152863123786954
1.54...6....9.2.1..49.16..8......64..7.....5.....6.9..7..5......5..48.7.8.4.7..9.,125483769687952413349716528598137642276894351413265987761529834952348176834671295
.......6.3.9......27.4..5...9.8.7.....7.9....5...6..4..425..89..537.24...........,415978362389625174276431589694857231137294658528163947742516893953782416861349725
..9......3........278.9..13.....93..9.6.....2..723.1.818..7.....9..8..2.4.3.2..7.,659317284314862957278495613821749365936158742547236198182974536795683421463521879
1.59....2.647..5.....1.47..3..5.1.96..1..3......2..........96....2....4...36.....,175986432864732519239154768327541896591863274486297351758419623612378945943625187
.3.59.6.....23..5......6.87...9....88.4..5.6....7...3.9.....27...5......4.385....,138597624746238951592416387327964518814325769659781432981643275265179843473852196
.5..8.3..8..9.54.1.1.7.3..2...247.....5..1....2.5........4.8.3....3..5....2.1....,256184397873925461419763852361247985745891623928536174197458236684372519532619748
.3.41........67.5..679..1.4....7.3.........789.8...56......3.8..4.19..........9..,835412697491367852267985134526871349314659278978234561159723486643198725782546913
.8...1..3....9..82.74.......9......8.......4.6...8...7..9..4.1.1...7..3..472.6..9,286541973513697482974832561491765328738129645652483197829354716165978234347216859
.6.2...51...7....829...36...53..791.9..5....6.8.39.....1........7.9.8..........7.,764289351135764298298153647653827914927541836481396725316472589572918463849635172
..68.9.....8..4......2....5.....6..2..9.4.....6.12...31.2.9...68..4...5......34..,716859234528634917934271685351986742289347561467125893142598376873462159695713428
.....6.....4.72..57.9..14..2....95.7.7..1.8.651....9.28..5.................6.8..9,352486791184972365769351428246839517973215846518764932821593674695147283437628159
.5...7..924...9..7..3.42.8..6....2..8...............5..9.7.5642....3.9........8.5,158367429246859317973142586567418293819523764432976158391785642685234971724691835
7.1..692.......4.....5..6.3..5..7........325.......1..3.9..5.622.6........4.1..9.,741386925653291487928574613165427839897163254432958176319845762286739541574612398
...3.9..8......2..1....46..7.1......46..8.97....9.2...8....7...619.....32.......6,527369418946815237183724659791546382462183975358972164834697521619258743275431896
8...6..3.9...2..7...3.1728...7.8...6......7............3...2.....65.3..2.9....15.,872465931951328674463917285347289516185634729629751348538192467716543892294876153
8..3.1..9..1...6...968......78.9..1.63.......2..6.5........85.2......3...6.9....1,857361429421759683396824175578493216634217958219685734943178562182546397765932841
..2.6.3.5.......1.........945.7.9..13........2.91..4......31.5....6......1.49.6.3,142967385695382714738514269456729831371846592289153476864231957923675148517498623
......2.3.4.....7.......54.3.548...7...6.1...7.625...8.28.6..3...1.....54.....86.,957146283142538976863792541315489627284671359796253418528967134631824795479315862
...5...43....49..72..8........184.9.....7...2.......8.483.5....5.9..2.....7....59,796521843851349627234867915372184596948675132165293784483956271519732468627418359
74.......5..8......2........5.7..1.9.3...824.1.74....5..954.7..2...........2..39.,748635912593821476621974853452763189936158247187492635319546728274389561865217394
.5......17.3.1....6.....5.....4..9.3..4.5....91..6...23..7..2...72..9.....5..4...,258396741743518629691247538526471983834952176917863452369785214472139865185624397
.52..3.8.9....5....4....62....54..6.7..............37.......4.....69.2..36..7....,652413789987265143143789625831547962726931854495826371279358416518694237364172598
3......17..2..43.878......69........82.1..9.3.36....4.2.8.......6..8.......31.2..,359862417612574398784931526941623875827145963536798142298457631163289754475316289
..7.3.1.4.6..1.................4..792.1..9.6..7.8........39...23.9271...8........,597632184468915723123487695685143279231759468974826351746398512359271846812564937
.2...6.84.8.2.3.6...3..8..27.4651....51.........4.7......3.4...2...8......7.....1,125796384489213567673548912794651238351829476862437159918374625246185793537962841
5...193...6...71....9....7229....5..6.......13.19.4.........645.......3...36..2..,527819364468237159139465872294176583675382491381954726812793645746521938953648217
9.84..2.........87....754.6.8.54..........3...3..8..645....9.7....3....2......93.,978461253465932187312875496681543729754296318239187564543629871197358642826714935
.72..........7..85..9..43.........2.....68..4...2.75.8..76354...3......6..4....7.,572386149463971285819524367798453621325168794146297538987635412231749856654812973
............7..48.7.83......49.8...1..5..9.......1..7.2.....3.9.5.......3918..5..,924168753513792486768345192649587231175239648832614975287451369456923817391876524
....72.6.9......1.........475..1.2....23...7..3...41.....5..4..3.6.....54..9...2.,813472569964853712527196384758619243142385976639724158291568437376241895485937621
..6.5...3...7..1683...8...7..95....1..1...8.........2...7....9....9..7.68....3..5,786159243925734168314286957439528671251467839678391524167845392543912786892673415
..1..3.....5....9..9.....6..8.53.6......8..341...6...2.3495.....5..1.9.....4.65..,621893475375641298498275361782534619569182734143769852834957126256318947917426583
.......6...3..5..1..6.....3.8.5.6.......9.1..3142..........49..6.2...8.48..6.9.15,978341562423965781156782493289516347765493128314278659531824976692157834847639215
..31..8..9...7.....21.8.3.6....5..39738.1..6....6..1....9.......6.....2....2.7...,673124895985376412421589376146758239738912564592643187259861743867435921314297658
...6.9..8......3.78...4.........6.4.7.4....5253....89...2........9.37......25....,325679418946185327817342965298516743764893152531724896172968534659437281483251679
..37.....7.16.....84.2...1......1.........47...2...189..9...8...2.9...6.167...2..,293715648751684932846293715984371526615829473372456189439162857528947361167538294
...9..84...26....9.4..7...1......17..94................7..65.8...8.2....16...92..,637912845812654739945873621326598174794231568581746392279165483458327916163489257
...9...........6..81....9.2......1.7.278..4..16.7.....2..19.7.4.74.3..6......8..3,746982315392541678815367942489653127527819436163724589238196754974235861651478293
...35.2...3..9.874........97...25........73.....86.....86...9..3.54....8.9......5,879354216531296874264781539743925681658147392912863457186572943325419768497638125
.2.18...7....75.1..........2...5.8.......19.6.98.....5....376.2.3.6..5...5.2.8..1,923186457846375219517492368261954873375821946498763125184537692732619584659248731
....3..28...61....3..4..97....8....69....1.83.....7..92.9.......3..4.....8...24..,491735628872619354365428971723894516954261783618357249249583167537146892186972435
2.3..5............9..16..4.6.9...4....7.94.......5.........37...312.79.6.7.64..1.,263475189714938562985162347659321478127894635348756291896513724431287956572649813
.14.25.6..7.48....9.2.6..4..5.......6.9...12.............84.....4..1.2.91....2.58,814325967576489312932167845451238796689754123327691584295843671748516239163972458
...5..6.....4.28..2.3.......3.21.....16..4.....8.3.4....4859.........36.9........,187593624695472813243168957439215786716984235528637491364859172852741369971326548
3.......7....8..........94...7...68..38.9.5...9......16...748...5.1.6...7.9.38...,385419267964782315172365948517243689438691572296857431621974853853126794749538126
..5.7...912...9685..............5..7678.2.........8.6..........961...53.8.3....96,485176329127439685396582174239615847678324951514798263752963418961847532843251796
5.6..1........67...985.....3.9....1.68..7.......4...........9...5.6..847..7.1.36.,536791482142386759798542136379268514684175293215439678463857921951623847827914365
7..1...5....25.7...8..9642.92.....7.5..8......18..9.4.......6....1..8....97....8.,732184956469253718185796423926345871574821369318679245853417692241968537697532184
34..8..1....3..6.9..6..1.3....86.974....5........9785.....741.....9...8.1......97,342689715718325649596741238251863974879452361634197852983574126427916583165238497
4....9.2.7...3...8...8.5.9.........2..5.9......9..4.7..3..7.5.152.3...8..8.......,458769123791432658362815497643587912275193846819624375934278561526341789187956234
67............7315.........13...2.7..56.8.......6.....4...765....14...3..8.253...,679315824842967315315824697138542976256789143794631258423176589561498732987253461
..3.8...........81.6.5....73...1..........27...2.97..5.31.5.9.8..9.3..2.2.7...1..,713486592524379681968521437376215849195843276842697315431752968659138724287964153
..6.37.2..3..1..8..24.....5..7....3..4....6.......1...87.6...1...18......6...3.54,586437129739215486124986375617549238345728691298361547873654912451892763962173854
.....3....9..67......8.....2......348.4..6.7......56...2..3.9.6........85.6.243..,672453891398167425451892763265789134834216579719345682127538946943671258586924317
4....8..2.735.29.......3..514.....2...7.1.3.8.....5..9............2......8..5.714,495178632673542981812693475149836527527914368368725149931487256754261893286359714
...8..2...839.46.1...5.6.39...........82.9.4.64.........4.3.....69......23.4.5...,956813274783924651421576839395148762178269345642357918814632597569781423237495186
.2......9..3..1.2..8...53......3..749..8........45......432...17...1..8.......29.,526783149473691825189245367865132974941867532237459618694328751752916483318574296
..9........7169........53..4..2...6..1......7972.514..134.2.....5.3...2......4...,549832671327169845861745392485273169613498257972651438134927586758316924296584713
...4.....79...65.......1..915..7....8....9.5.96...37.....6..3.....1.8..7..6..5.4.,315492678794386512628751439153874926847269153962513784481627395539148267276935841
46..5...2..5..9....1......4.36..2...7.4.3....2.......55.....7...2...1.6...7....9.,469153872875249316312867954136592487754638129298714635581926743923471568647385291
5.169..8...8..3...9.....6.4.39....2.4...2.5.8...3............9...5...21...69..8.3,541697382628543179973812654839756421467129538152384967384261795795438216216975843
8.7....9...9...178.5........8..7.3..7....9.2.1.3...75.3.....2.....9....5...1.6.3.,847613592639542178251798463985271346764359821123864759396485217412937685578126934
.....4..1....81.7....69.5....7.6..4.62.1..8.78.5....9.1....52.4.....7.....2......,568374921293581476741692583937268145624159837815743692179835264456927318382416759
182...4......7.9...6.......2.3.64....7...82..6..71.....9.......8..1.3...4.1.96..2,182639457345871926769425813213964578974358261658712349596287134827143695431596782
26...4..5..1.5...6.3..9....1..3.2.....9..6..73...4......7......4....51..61.4..7.2,268174935791253846534698271176382594849516327352947618927861453483725169615439782
5.7.......9.5.1.......4...74...........6.7.8..28......25..8..1.6...2...8.8.1.94.6,547863192892571643361942857476218935135697284928435761254786319619324578783159426
6....5.......7....54.92.3.8....8..9......24653.6...........724.........7...45.83.,637845921928173654541926378254681793189732465376594182865317249493268517712459836
2..6.1..3..73.....6..298...1.....2...6...........12..5...1.....538.6........35.67,249671583817354926653298741195786234762543819384912675476129358538467192921835467
....48...94..5...7..1..9..2.8...16....28.......69.5.4.........1.6.......274...5..,327148956948652317651739482583471629492863175716925843835294761169587234274316598
3...725.....3..4..5.4.....2.32..7..59.5.3........1..........184....94..3...85..9.,381472569296385471574961832832647915915238746467519328659723184728194653143856297
5....4...14.6.7..5.....39..7.3..1..4...9...5...6.4..31.1.........5...4..92......6,537294168149687325862513947753821694481936752296745831618459273375162489924378516
3...4..2.1.....5...742....9...9.....6..3..492.........2.5...36.9..5.3..7.1.6.2...,398745126162839574574261839827954613651378492439126758285497361946513287713682945
..5.279.........15.4......33.6.9.75.2..7...49.....6...............361......45...6,835127964762943815149685273386294751251738649497516328614879532528361497973452186
..42.75....73.9....2....3..........769....4........93675..84..2..25...........89.,364217589817359264529648371238496157695173428471825936753984612982561743146732895
..4.1.8.77..8.4...2...9.1.63...61.......2.3.......7.....1.367............7.9..2.3,934612857716854932258793146382461579147529368569387421491236785823175694675948213
..54....73827..15....1..38.2..9.4.3..........9.457.......32..4...18..72..........,165438297382769154497152386276984531538216479914573862759321648641895723823647915
.......396........7.........8..16..4.24.783......2......6.4.9..4...3.21.2.1.8..76,548762139612893547793154682985316724124978365367425891876241953459637218231589476
.3..85.9...72...56....7..1...1.56......79....26.3..5......6.....2.1.3....53..9...,132685497497231856685974312371456928548792163269318574814567239926143785753829641
.9..524.....4...........6.7...3...9.5...87..338.9267..9.4.......3..7......5....3.,693752418758461329412893657267345891549187263381926745924538176136279584875614932
7.861......65..7..........1....2.....4.....7...2.3..6.63....42.8...5....2..8..1..,728619345316548792459372681967425813543186279182937564635791428871254936294863157
..6...72.....2...3..7.3.6.........4..7....3.5654.......31.9.4.74.2..7.91.....5...,316854729945726183827931654193572846278649315654183972531298467482367591769415238
.1...4....8.....32..3..65..634....8.1.....6.5..8...........94.......2..3.65.4.89.,517324968486915732923786514634597281192438675758261349371859426849672153265143897
......63......9..15.....8.4...9...4...1.7....3.58....698...7...6.....1.5....93..8,248715639763489251519362874826931547491576382375824916982157463637248195154693728
