Puzzle,Solution
.3...671..28.....3..1.938..5......6.....6..7996.537..1......6.8.....19......7..5.,439826715628715493751493826572189364813264579964537281197352648285641937346978152
.............65........87...5.......9..7....3..4..6.9...63...8.4.....9.17.819.4..,619273548287465319543918726351829674962741853874536192196354287425687931738192465
3.......6.18.3...7.54......5.6.......73.9.1..19......4...6.17..9..4...1..6..8....,329147856618935427754862931546318279873294165192576384435621798987453612261789543
...487..1........678.1.3.......4.......7.9....4..3196.95.....78.34....5.....9.34.,629487531413952786785163294391645827568729413247831965952314678834276159176598342
.....3.9...3...8.....17....8.7...3...9......6..2..7.19.7....2..1..3.9.6.5.6.1..3.,764823195213596874985174623857961342491235786632487519379648251128359467546712938
6...2.9.........7..19.6.............5...37...8......51..2....8...6.91.37.9...65..,675128943248359176319764825934815762521637498867942351152473689486591237793286514
.5.8.4..11..2...3..83.5..2.34....5.....9........3...9.51...........71.....8...7.2,256834971194267835783159624349712586671985243825346197517428369932671458468593712
.....7.....1.....4...5.....6......17.18..945..7.4....87...6...2...9..5...247.59.1,462897135951632784837541629649258317218379456573416298795163842186924573324785961
.4..16.....5....4.37..........29.....2967513......1....1.4.....25.....7....3.9.5.,842516397195732846376984215581293764429675138637841529913457682254168973768329451
1..5.7...39...1...5.....6...56....74......9.8.1..........1.3.4.....6...7.4..7.516,168527439394681725527349681856932174432716958719854263675193842281465397943278516
.924....8..3....7...47....3..1...........271.87...3..9......92......5....5.9..8..,792431568183659472564728193921576384435892716876143259648317925319285647257964831
.6..7....3.....8...8...2.....86.....5.9...7.82....8.51...186..7......3...1.9....2,964875123352461879781392645178659234549213768236748951423186597897524316615937482
..56.7.8.......6...8.93....739..6..55..........431........8.....51..34...96..4...,145627983973458621682931547739846215518792364264315798427589136851263479396174852
.5...273..29......4.3.....88..35...7.34.....91.........7..98.2....5.3.8...1......,658912734729834165413765298892351647534627819167489352375198426246573981981246573
9.5..41...43..9.5.7.......95.4..3....1.4..3...7...1.....2.........23.9..4.1..8.72,925384167143769258786512439564893721218475396379621845692147583857236914431958672
..1....54.53..8.........2..78......5...51..89.....4...3.......2.1.8...9...475.1..,261379854453128976897465231789236415642517389135984627378691542516842793924753168
....189..2..5.4.31.....24...8..9..56....4....19..5.38......61..8......2...3......,435718962279564831618932475384291756756843219192657384547326198861479523923185647
.9.......81...94.73............3.9....1.4.57....6.8.1..6.4.....5.87..69..7......8,497315862815269437326874159254137986681942573739658214963481725548723691172596348
...8.6.7.............7.......2....6.8.3..54..6...9.3.74...879...652..8..2......4.,329856174147923658586714239972438561813675492654192387431587926765249813298361745
.6...3....538.24.1..7.1.8.5........3....3..87.7..51.2......7..2....2..1.......6.8,861543279953872461427916835295768143146239587378451926514687392689325714732194658
..5..1...1..3.5.6.86.2...4..82.........4...8.....1....49...3..5..85..6...3.6....4,745861392129345768863297541982756413651432987374918256496123875218574639537689124
8.7596......4..3....4.8....5..3...2..426..89...9.4......5.........278.6.7...3....,837596412956421387124783956578319624342657891619842573285164739493278165761935248
.9......6..16....37.4........8.....4.3......92...436...7.3...9...3.6..82.891.....,395417826821695743764832915958276134436581279217943658672358491143769582589124367
.....3....2..........271...9.....5.33..6.4..7..2....4619...7...53....2......9516.,871453692423968751659271384964782513385614927712539846196827435538146279247395168
.37.6..2.....7.13..1.9....5....1....1..2.53.8..5.......8.79..5.5..8..96...6....83,437561829952478136618923745843617592169245378275389614384796251521834967796152483
...3.6..2..8.1.5......85.96.....3......5.97.1....2.8..9....12.7.326.....6.7...3..,759346182468912573213785496591873624824569731376124859985431267132657948647298315
4.6.......21..4....8............8.24...6.78.9...54.1.726.8...4.5......12.7.....9.,436981275721354986985276431657198324314627859892543167269815743548739612173462598
...36..7...49.....28....3...9..7..6...124....4...8.7..6.....9....81......37..4.1.,159362874374958126286417359893571462761249583425683791612735948548196237937824615
8..........7..........9...5..4.8.7....9.32...2.87..45..3...597...6..3....759..6.8,893651247527348169641297385314586792759432816268719453432865971986173524175924638
......47.81........2.......4....35..362..7..1..12..........8..72..46..5.6853...4.,536819472814725693729634815478193526362547981951286734143958267297461358685372149
8...4.6.1.7.............38.2...6.7.....3...9.76.8..1......2.....89....64.3.1.....,825943671376218549941657382294561738518372496763894125657429813189735264432186957
....9....25.8...1.....3..6.9....18..8..96.......32.....2...5..41......38..9....56,614597382253846917798132465946751823832964571571328649327685194165479238489213756
....6.795..74......26...............9...5..4.1.8.2.9.62......1..71...852......6.7,314268795897435261526179384743691528962857143158324976235786419671943852489512637
...7..6.3....84.....56.9748.83..62..........9..93..57..........7...4.......5..9..,948751623367284195215639748583976214671425839429318576852193467796842351134567982
....8...6.2..7.....463..89...9....61...2.....2..8..3..4....1...7..9....33.8......,973184526825679134146352897589743261634215789217896345492531678761928453358467912
....8...1....976..5....68..45..6.2...79..25.6.8..5..9..6..2......7.14...1........,796285431813497625524136879451769283379842516682351794968523147237614958145978362
...8693.....1..2.8.....5...2.6..3.819.1.7..2.3.7...6.....652..7.......9....7.1...,412869375569137248738425916256943781981576423347218659194652837675384192823791564
7...8.4.......1.82...64..5..3....148..54...3..8...........257.42..7..51.....6...3,726583491354971682891642357639257148175498236482316975913825764268734519547169823
9...67......9..5.2..4...3....1..4...........5......7.9..94.3..774..1.2.3.6..7..5.,952367841316948572874125396531794628697281435428536719289453167745619283163872954
.....7.4.....4..183..9..7...9......2..4..9.5.5..17....1.87.3.......54.2....2.....,816527943957346218342918765791485632284639157563172489128763594679854321435291876
..5.27.........8..7..1.39..9...1..3.....3.4...8.5...79.24...3..3..........7..85..,845927613139456827762183954976814235251739486483562179524671398398245761617398542
8..4.7....938.6.....1.....9.....39..1.....382.2.....1.4......6..7....2..........7,852497631793816524641532879587123946169754382324968715435279168978641253216385497
..9..8..7.....726.5..........2.5.91.7..39..52.......3..789.5.........1.6....6....,369128547814537269527649381432756918781394652956281734678915423245873196193462875
..............9..8...4..2..8......9.1....74.5..6.5..81.8....7.474.6.21..5........,428576913367219548915438276854321697139867425276954381682195734743682159591743862
7...2..54.2.9.....1....6......57.....9............354....4..6..5.7.1......1362.7.,736128954824935167159746382613574298495281736278693541382457619567819423941362875
7......6....4..8....4....1...2.3.4.7....8.52.8...7...3..1...7....3..8..22...6.1..,758391264139426875624857319912635487376984521845172693581249736463718952297563148
6.9...71.72..6.9....8....4.8....12.996..7......4..2.7.13..........71............3,649238715721564938358197642873641259962375481514982376135429867286713594497856123
314....7.......9159.......81..4..38..39......2...9.5.......8..45.8.7...1...9...5.,314859276872634915965127438157462389439785162286391547693518724548273691721946853
8.5.2..4..945.7.....3.8..7.2.1..4583...235................42......3.......89.1.52,875123946194567238623489175261794583489235761537618429956842317712356894348971652
..18..4..87.......5..1.....615.....8.....1.3.7.3...6..98.43.1....4....8....68...5,361829457879543261542176893615394728428761539793258614986435172254917386137682945
..5..827..7..536....196....7.9.......1......8.2...1....5.....92..8..6.15.....9..6,365148279974253681281967534749685123513792468826431957657814392498326715132579846
89.7.......5.1.........2...9.1.......6.4........5..7.21...6.4..4....528.78.9.41.5,894753621275619834613842957921387546567421398348596712159268473436175289782934165
5.....6.9..6.8...7..8..4.2.....5...4.....8.72.52743.96..7..5.......26....94.7....,543217689216389457978564321769152834431698572852743196627435918185926743394871265
8........4.63..........8..4...........5..1..8...845.13.3..174.57..6...31..8...7.9,893574126416392857572168394981736542345921678267845913639217485754689231128453769
.4..7.15.7...5..38..84..............4....1.72......314.....2.83..5....6..7..15...,349278156762159438158463927231847695496531872587926314614792583925384761873615249
...8..7.....219...5.874..3..5..7..4.9..1.....3.4.8.1.7.4....283......4....7......,492853761763219854518746932851972346976134528324685197149567283685321479237498615
.8..7...2.2...6..5.71....3........68.....1...348....1.254.3.7..7...8..........324,685973142923416875471528639192357468567841293348692517254139786736284951819765324
..4....3....9.........5.......1..86.....68...1..34.29.36..8..4..5...29.....6..18.,594216738628973451713854629435129867972568314186347295369781542851432976247695183
1......9..8...5.....9..3........6...527.3.86...8.7...986...7.3..7.....2.3..2.91..,136724598284695713759813642493586271527931864618472359862147935971358426345269187
....614.5.....96..4...3..7.593........6....9.7........12..9.....7.1..5........34.,987261435235479618461538972593612784816754293742983156124395867378146529659827341
7...62.............958...6......9....6..84...2.735........3.64..3.4.......97.8..2,714562389826193754395847261451679823963284175287351496172935648538426917649718532
..2.....6.6..51..841.3...95....8..5.3.5...2..8......1......9.....64.8....5...6...,572894136963751428418362795641283957395617284827945613284579361136428579759136842
.....5.6...879....57...3.8............6.843.27..3.265..8.6....9.4.........9......,931825467468791523572463981823576194156984372794312658385647219247159836619238745
....4...66.4.....8..............1.8.4.3..52..5..76..14..2.5....3.58.........16.75,287549136654132798931678452796421583413985267528763914162357849375894621849216375
.27..9......2...691...5.8...1..72...635....1.7...6.....9.3.5...5.3.8......1.2....,827639451354218769169457832918572346635894217742163985296345178573981624481726593
.2457..9....6...1486..........7....9.......8.17..8...2...........9.4.6.1.8..192..,324571896957628314861493527548732169692154783173986452415267938239845671786319245
...2.7.5.8..56...9.....4..272........9....4.83..8..7...4..7.................936..,419237856872561349653984172728345961591726438364819725946172583137658294285493617
15.6..8.4...3.....6.4.........82346............7..43....1.7....4821..7.....4..6..,153697824298345176674281935915823467346719582827564391561978243482136759739452618
.9..81..5.......6..2.3...8..65..37.....2...9...3.6..2.....2..5..8.956.1......8..2,497681235138572469526349187265893741874215693913764528349127856782956314651438972
...2.........762498...91.36...7....4..236..8......86..7..92.........74....361...8,496235817135876249827491536618752394542369781379148652784923165961587423253614978
..1........57...493.......2....2..97...3.945..4.1..6...7..3....964......5....6...,481293576625781349397465812853624197216379458749158623178532964964817235532946781
1..89......8.5.....5..31.9.........1.846...2.5.2.4........852.3.9...........2.4..,173894652928756134456231798369572841784619325512348976647985213291463587835127469
5.8.1.7.6.1.5...3..3...7..8..9..2........1.9.......3..2...83579..1..58......9..6.,548319726617528934932647158179432685326851497485976312264183579791265843853794261
..5...........4.......1.52..9..8.....7.....8.45.29.1....247....1.75.9.........2.6,915362748723854691684917523396781452271645389458293167832476915167529834549138276
..91......1..3.2....7..2..4.2.3......6..17.........1..17.65.32..962..5...3..7...9,249185763618734295357962814721398456463517982985426137174659328896243571532871649
7....4....8.23..7......9463.5.3.............8.....7..2....6.3.58...9....93.4.56..,793654821486231579512879463159382746327946158648517932274168395865793214931425687
78..59....5....4..3.67......4.8..1....3..58.6..963..........5..9.8.....3.61......,784259361152368479396714285645897132273145896819632754437926518928571643561483927
4.1.8.5.6.8.3...4..3...9......7.....1...3....5......1...6..395.849...16.......7..,491287536687351249235469871964718325128635497573924618716843952849572163352196784
4.7.2..6..9...3....32..9..4...9....79....4........7.......3865...6....8.58.6..793,457821369698473125132569874814956237973284516265317948749138652326795481581642793
...6..53....3.28.6....48........31........673.2.8..........4.1..13.7..2..8.2....5,842619537179352846635748291756493182498125673321867954267584319513976428984231765
8.92.....2.3...98...........4..7.3.153.4.....7....2....8...1..4....3...9..58..723,869253147253147986174689532642578391531496278798312465387921654426735819915864723
..234..6.......8..3.....5.48..4..1.2..6..9..84.1..5.....426.........1......85.6..,152348967647592831389617524895436172736129458421785396914263785568971243273854619
...8..452.9.6.......842.6.37.35.....95.2...4......3....26......4..9.....83..4....,367819452294635718518427693783594126951286347642173589126358974475962831839741265
7..589...9.8..3....2....1..6.....3...3....5..1.5........1..8.92..9..68.....7...6.,716589234948123675523647189694815327237964518185372946361458792479236851852791463
......41.5.........43.29..6....341.2......795..........675..3..3.9...24...12.....,926357418578416923143829576895734162634182795712965834267541389359678241481293657
....1...44.......5.59.........3....2.....5...73...96..1.4..32.9...4..7..273...1..,328516974417892365659734821841367592962185437735249618184673259596421783273958146
.2.7.4......81..3...8...4.....94...3.....6.19.....26....63..8..9...7...1....69.7.,523794186467815932198623457681947523342586719759132648276351894935478261814269375
4.9....58.17...26..2........8...1.421..96.7...9..7........42..75..........8...5..,439627158817435269625189374786351942152964783394278615961542837573896421248713596
46.57...8.8.......5....2.7..2.18.....7...9.86..94.....2.89.4...7...2.....1....5..,462573198387691254591842673624187935175239486839456721258914367746325819913768542
.1.8.26....5.79.2..8....7.....9..2.68...6...5..1.87......5......7....8....2.....3,917832654465179328283654791734915286829463175651287439348526917576391842192748563
..........92..........75...6....4.21..42..3.5...5.3.94.5........23...76..7..1..43,548126937792348156361975482635794821984261375217583694456837219123459768879612543
..2..4.6.8...1.4...54...9..........3.2....61.91.6..28..9..6....6...3...93.598....,732594861869213475154876932476128593528349617913657284291765348687432159345981726
.....4..7....7...5.2.......8..9.2.4.94..8..56.....6.3.45...3...2.9548.6.6....9...,586294317394871625127365498865932741943187256712456839458613972279548163631729584
..3.84..248.27.6..........4.........928.56......7928.....6....3.....39..2....87..,693184572481275639572369184764831295928456317315792846859617423147523968236948751
......37...2.....58...3...1....1....4........12..8.9....8.54.93...17..2.31.9..54.,651842379932761485847539261769215834485396712123487956278654193594173628316928547
4...7.3....5.63..........7............3..5..45418....2..6.8.2...1.6...3..7.24.51.,469572381785163429132498675627914853893725164541836792956381247214657938378249516
8.42.91..3.2..5..4....7.......75.......9.4.82...1235..5.7.....1......9.7......3..,864239175372815694915476238629758413153964782748123569537692841286341957491587326
71....3..4...738...9.8...2..871....353..2....1.......7.2..4.........8...34.51....,718264359452973861693851724287196543539427186164385297821749635975638412346512978
....892...2...7.5.5..6..1.71.7.3..9..5....6..8.21..53...37......86.......1.......,471589263628317459539624187167435892354892671892176534243758916786941325915263748
......7....5..8.2....4...85.....24.69.....2.......9.51..174..6..4.1..9..62.......,869251743475368129132497685753812496916534278284679351391745862548126937627983514
1.9.......2..6......7....242.48.9...........191.72...33....67..79....8...6.4.8.1.,189247635423561978657983124234819567875634291916725483348196752791352846562478319
2...........5...76.........5.9.....7.4.8..1..1...694......9...18..74...5..528.96.,267138549931524876458976213589412637643857192172369458324695781896741325715283964
.8...7..9...2.......2........4312...2.154..9...58....4.4.....1.35.....78...4....5,483157269769283541512694387894312756271546893635879124948735612356921478127468935
...4.8......5..3......716..4.6...51..8...3.6.3.......76..7..1.5....3.2..1..2.47..,273468951861592374945371628496827513587913462312645897624789135758136249139254786
.2...93..1.74.5...4.......8.3.9...71.4.2..9......1...35.....1......71.......2..3.,625789314187435629493162758236948571741253986859617243578394162362871495914526837
8...2......2.9...3.......4.4...79.....824.1.937.8......9.31.2.82..............6.1,837624915142795863956138742421579386568243179379861524694317258215986437783452691
...5....1879..25..5....9...9...4.7...........42..7.......4..3.8..31.5...7.2.3...5,236584971879312546514769832958246713367951284421873659195427368683195427742638195
.7.32...9..2..54.69....6..72..6..7.5..3.......86.4......7....2..........86...4.9.,674328159132795486958416237219683745743152968586947312397561824425839671861274593
...8.2...........63...4.1....12948..6...........13.....6....2.5..2.1..8.918...34.,195862734284371956376549128751294863623758491849136572467983215532417689918625347
...9......8.6.4.71......3....18.....6..4..5..8...3.4....9.5.64...7.....3.....67.9,214973865385624971796581324941865237673492518852137496139758642567249183428316759
...9..2...1.....695.3....1....2...7...23..........79.....16...78....25..3.75....8,476913285218475369593826714659241873782359641134687952925168437841732596367594128
....6..5.4.5....7.9.34....8.2...6.......35.....49..5.2.3....6.5.......2.....93.47,712869453485312976963457218528746139196235784374981562837124695649578321251693847
.1..58....9..6......4912..5.8.6.5..1........4....8..9.3.1....49....935.2.......8.,613458927592367418874912635289645371167239854435781296351826749748193562926574183
87.3.....6.31..4....9.7..2..8....7..3.....24..97.1.........3......6.8......4..9.8,875342691623189457149576823286934715351867249497215386918723564534698172762451938
...7..8......657.1....18......4..5...7.28.4..1.....9..49.1....7.1..9....82...6.4.,361742895248965731759318264982431576576289413134657928495123687617894352823576149
.9......5...8..4..1.......971.2..........8546..596..2....57......1..46..4.....8.7,698432175257891463134657289716245938329718546845963721982576314571384692463129857
1....83..............16.....9.4...8.5..6..2...8.9..13..2.....9.3......1...9.1.642,142598367968732451735164928293471586514683279687925134421856793376249815859317642
.194.6.......5.........9......891.3.65...4....8.......5.....8.74...8..61....7.9.5,719436258362758194845219673274891536651324789983567412596143827427985361138672945
..938652..5...18.31....5..........8........7..86.2....2..7..9...91.3...6......7..,479386521652471893138295467527643189314859672986127354265714938791538246843962715
6.8.5..9......9..55....2......5.......142.5.......1..3.9.1.38.2.64...3..8...94...,618357294372849615549612738487536921931428567256971483795163842164285379823794156
7.93..........6.....34.......52..4...3....9..2.4.17.5..9..4.3.2....7....41..9.5..,789321645541786239623459781975238416138564927264917853897145362356872194412693578
.34.6175...6.2.3...5.7...81..1.5...................12.2...1456..8...5....1.2...7.,834961752176528394952743681741852936529136847368497125297314568483675219615289473
74.........5.41..8...9....2.2..179.....6951..6..2.........7.5.......6..9...52..7.,749862315235741698168953742523417986874695123691238457982374561457186239316529874
......5...58..6....764.3.8....87....4.........62...43..8...7...2...9...6....4...9,124789563358126794976453281593874612417362958862915437689237145241598376735641829
..1.628............47.9.....94..........7...1......9...6..1.4.3.8..391.7..2..86.9,931462875256187394847593216594321768628974531173856942769215483485639127312748659
........2....96..11.8.42.7..75.....42..9.....9...8..1..8.6..9......51.......2...5,759138462423796851168542379875213694214967538936485217581674923392851746647329185
.2.1...6.....564......7..28....1589........4...26.9..7....8275..5........8....1..,724198365398256471561473928476315892915827643832649517143982756659731284287564139
5..84.....3..21..8......1.....73.....7.4.....4...983.5.....9...8.51..94.......753,591846237734921568286357194658732419973415682412698375347569821825173946169284753
6.1.5.2...8..4...6..2..3....6..........4.85..81........3....14.5.73.1.6..2......7,671859234389142756452673918265917483793468521814235679938726145547391862126584397
....4.1...4.79.26.613......197.2......6.....2......9...........365...7..42.6..359,972346185548791263613258497197425836836179542254863971789532614365914728421687359
..7.....315..3...72...564..6.9.23........4..1..1.65...........4.25....9..46......,867419253154238967293756418689123745532974681471865329318692574725341896946587132
..18..6.....7....5.36...8...13..2.5.64......2....5..7...4.....3...6.......8..31..,271835649489761235536249817713482956645197382892356471154928763327614598968573124
97.......2.........3.........7.8...168...37.....9.......6..92.7.5.72..3...15..6.8,975641823264378915138295476597482361682153749413967582346819257859726134721534698
.4.....6.5.....1.............17......7.9.3.1...31.8.5...4.9...3.9.38...7.5...74..,847219365532876149619435278481752936275963814963148752724591683196384527358627491
...6.1.3.9....27...4.79...15..........1..9.54...2.43.........6..2.....474..5.....,752681439916432785348795621534168972261379854897254316185947263629813547473526198
34.1......6.24.8...9..7...6......78......21........4639.....2..........8..241839.,348156927567249831291873546156394782834762159729581463985637214413925678672418395
87..2..46....47......8...9..........6...73...7...56...28.9...67.......5..35..29..,873529146519647823426831795351498672648273519792156438284915367967384251135762984
..4.....2.....5......9..58.7....6...2.6.749...4..9...59.......8...2..7..5124.....,354768192879125436621943587795316824286574913143892675937651248468239751512487369
.5...8.4....41.89....35...2...8..2..5.2.....6..1.....8..6...1...48..9......2.....,157928643263417895894356712639845271582791436471632958926573184348169527715284369
............3..218...8.45.7..4..3.75.81......2....68....8.6..4.6..7..3814.....6..,852671934746359218193824567964283175381597426275416893538162749629745381417938652
3..4.....84...7.....7.....59..25.7....8..1..4..2.4.8....3.......7.5...18...9...37,391485672845627193627139485934258761568791324712346859153872946479563218286914537
.1.5.9.8...3...912...7..3.....9.386.....7...97....6.....6.........8.753....1.5..8,214539786573648912689712345142953867368271459795486123856394271921867534437125698
.1.........715..8.5...4.9....2....911..4...58..4...3....53...4..3..12..........7.,916287534347159682528643917762835491193426758854971326275368149439712865681594273
.9..6.5.....145...1....8...457.9......9.7...8.....4....7........6145..8....3867..,894762531736145829125938674457891263219673458683524197578219346361457982942386715
...4..8...6...7..18.43.2.67..3.7..24......6.......9...62.....1.....9...24....893.,271465893365987241894312567983576124542831679716249385629753418138694752457128936
......364.8..6.....315..8....6.7....3..82.....4...56..........1.17...538......47.,759218364284369715631547892896471253375826149142935687563784921417692538928153476
...9.3.473.8..2......1...............4..1..93..95.7..2..........127.5...5.743....,261953847378642915954178236726394158845216793139587462693821574412765389587439621
9.35.78.1.....95..4......3.......3.5..183..9...47....6..6...7.4........8..7...15.,923567841618349572475281639769412385251836497384795216136958724542173968897624153
...84.......7.6..3.....1.....3....54.541.36.7.2.6...8.3.7.....8...2..........71.5,631842579542796813978531462163978254854123697729654381317465928485219736296387145
.4....3....5..9....9.32.1..2871......1.28.............47.9......3.57..42.....1.8.,741856329325719864896324175287193456614285793953647218478962531139578642562431987
...64...7.....2..64...5.9....18...9..57.....4.............76.2.19...8...5...2..4.,329641587715982436468357912241865793957213864683794251834576129192438675576129348
.2.75...3......5.6...93.1..9..5.4.....3.2.9.....1....7...........941.7...61....34,128756493397241586654938172976584321413627958285193647742365819839412765561879234
........1.7..8....3....4....3..2....74..63...8...7..29.......4.......183.2..3867.,264597831571382496398614257935821764742963518816475329183756942657249183429138675
....764.1...1.......9.58.....6..4.......9..8....3.57..49....1...75.3.8.43......6.,853976421764123958219458673536784219147692385982315746498567132675231894321849567
..38.......4....53.68...42......3......1..5......276.1....641.8..6.813.....2.....,573842916214976853968315427147653289632198574859427631325764198796581342481239765
.....17..3......495..6....1......63.6157.3.8.........785....97.137............3.4,248951763361287549579634821792148635615793482483526197854312976137469258926875314
...........4.2..17....8........6.4.1....7.65.8..5.9.....6..458.9......74.7..981.2,182637945634925817597481236753862491249173658861549723326714589918256374475398162
...4.9....4.............51.3.12...4....1...7.275........4..57.3.6..4...29...3..6.,538419627147562389629387514381276945496153278275894136814625793763941852952738461
9...85.7........5..3.......7.........12.3.96..9.526.8..6.....9.2.3.6.7...5...2.3.,921485376478613259635279841786194523512837964394526187867351492243968715159742638
94.5.....7..18...4.......8.....5........6.75912....8........46..51....98..7.4.1..,948523671736189524512674983679458312384261759125397846293815467451736298867942135
4..6.73...5....6.2...4....9.35...2.......9...174....3......3...72.......346.7..1.,492657381857391642613428579935814267268739154174265938589143726721586493346972815
..9.5.8..75..9......421.9..38..2....2....95.....5...........18..41.3...9...8....7,129457863758693412634218975385124796216379548497586231573962184841735629962841357
...9...3.7...438........5.....8......371.54....1..4...5.....7.8....293..21..3..4.,184957236752643819369281574645872193937165482821394657593416728478529361216738945
...6........2..841......25..4.3217.......4.2..7........2..374..51......278....53.,251648397637295841498713256849321765165874923372956184926537418513489672784162539
8....9.2..2...64.9.5.4.....3.....1.41486...9.5.....6...............1..53..9....6.,864179325723586419951423876376295184148637592592841637235768941687914253419352768
4...81.........2.1...64.5..7..........1.59.86...8.417....9.2.1..7.....25.....54..,435281769867593241912647538783126954241759386596834172654972813379418625128365497
