Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...2..89...83..7.2.....6.......7..1.3.6.12.........2....57..36.....2817..7......9,143257896968341752527986431492875613356412987781639245215794368639528174874163529,25,36,20,0,0,0,0,0,0,Easy,
.....17.4.......9.....24..8.42.6...........43......9..2.4..783.97.2..1..8.61....7,329581764481736295567924318742369581195872643638415972214657839973248156856193427,26,57,14,4,1,2,0,5,4,Expert,
....9........573.1...3.....37......6.....29...9..4....5....6.1..6473...213.....4.,653198274948257361712364859375819426481672935296543187529486713864731592137925648,24,46,11,0,0,0,0,0,0,Easy,
...4.........6.7..6..215.....9.4.....4.198......5...8..7.....69.91.2..7..5...7...,925473816134869752687215493869742135543198627712536984478351269391624578256987341,24,43,14,0,0,0,0,0,0,Easy,
......8......6....89...13.512.9.8.5.....1...2.8.........752.....6.1.92.7.39..7.6.,742395816351862794896741325124978653975613482683254179417526938568139247239487561,27,44,10,0,0,0,0,0,0,Easy,
.2.......9.7.6.54.5......7.3..1569..1...2.7.4........6.1.....3..5......7..241....,821547693937862541546931278374156982169328754285794316618275439453689127792413865,25,43,13,0,0,0,0,0,0,Easy,
.624.8.31....5....8.4...5..37...6...1.628..5.....4....2.3..4.........6.7...5...2.,562478931739152864814639572375916248146287359928345716293764185451823697687591423,26,39,16,3,0,1,0,0,0,Intermediate,
..........9......2....5...98..7..6......3....5.7.82..3.32..4..6.8...9.2..69..3..8,258946731694317852371258469823791645916435287547682913132874596785169324469523178,24,48,9,0,0,0,0,0,0,Easy,
.8..4.6...........2.3....95..76.94..96.5...8...237.9...7.....4.6........528...37.,185942637796835214243167895837619452961524783452378961379256148614783529528491376,27,46,8,0,0,0,0,0,0,Easy,
.7....823....6...7.....51..5...23...3...9..7..6....2.8...57...1..931.5.......6...,675941823431268957298735164587623419312894675964157238826579341749312586153486792,25,35,21,0,0,0,0,0,0,Easy,
85.27.....1.9.....2.9.......6....92.....4751.1......4.785.2.6...21..6...6.....7..,856274139417938265239165874564381927392647518178592346785423691921756483643819752,27,40,14,0,0,0,0,0,0,Easy,
..96248...16895........1....3....6....82.....9.1.68...6...3.4.8.9..........5..1.9,579624831316895247842371596435917682768253914921468753657139428194782365283546179,27,41,13,0,0,0,0,0,0,Easy,
....5....1.....8.7...9762...65.9.7.8.........2.7...96......2.84....4.6...8...1...,792158436156324897843976251465293718938617542217485963679532184321849675584761329,24,33,23,0,0,0,0,1,0,Expert,
9...56......9....2.2148...3....4.5...8.....4.3..52..1.........5..4...8..2.......9,937256184468913752521487693792641538185739246346528917879164325654392871213875469,23,40,18,1,1,2,0,0,0,Intermediate,
.........5....39.8..145.....9..2.68.........5...56.31..4.....6...3..8..1...21.5.3,437982156562173948981456237795321684316849725824567319149735862253698471678214593,25,55,19,0,0,2,1,3,2,Expert,
..7.........9.741.....5.87.85.3....12..8.95...3.5..7.......2..8..........8.79.23.,917248365568937412342651879854376921276819543139524786793462158425183697681795234,26,30,23,0,0,1,1,2,0,Expert,
..7.1..2...9..5.46....8257.9...4.....1.....5.458..........2....2.1796...64......2,567914328829375146134682579976541283312867954458239617795423861281796435643158792,27,42,12,0,0,0,0,0,0,Easy,
..48.91.5.......73...74.6...16.......9..5....5...6.8.....9.....739.......413.6...,674839125982615473153742689316298547498157362527463891865921734739584216241376958,25,44,12,0,0,0,0,0,0,Easy,
7.....49.............3...8.89...76..17.6....3.........93.8.27.6.1....9...2..9..1.,783526491241978365569341287892137654174659823356284179935812746418765932627493518,24,31,26,0,0,0,0,0,0,Easy,
...9.......23......7.......2.6...3.......8..1....13.466.8.....2..4..7.8.32...4.19,561972834842351967973486125216749358435628791789513246698135472154297683327864519,24,65,13,7,0,1,0,3,2,Expert,
1...2.9.7......36...25.....6.7..5...9......1..8.9..2...3.....7.87.6.....5..8.9...,163428957458791362792563481617245839924386715385917246239154678871632594546879123,24,51,6,0,0,0,0,0,0,Easy,
9....21...6.5.7...875..9..27......39....6.........3......2....3....31.8.2..9....5,934682157162547398875319642756124839319865724428793561641258973597431286283976415,24,45,12,0,0,0,0,0,0,Easy,
8...2...............2.7..8...97.83..2.3.6..45..4....96.5...4..74...536...26.8....,871429563935816472642375189569748321283961745714532896158694237497253618326187954,27,38,16,0,0,0,0,0,0,Easy,
.3648....2.5.9...4..92.36.....67..8.5...2...7.....85.........6..83...79.......2..,736481952215796834849253671321675489568924317974318526492537168683142795157869243,26,45,10,0,0,0,0,0,0,Easy,
.....3.8998...6..5.5...8.2.6...5........89......1..4..51......23..4.......4961...,462513789987246315153798624629354871741689253835172496516837942398425167274961538,25,54,6,2,0,2,0,2,2,Expert,
3.61....2.21.9....9.....3..59.....4.6.4...83..1.6.4......3.1.9........8......2..6,346178952721593468958426317592837641674219835813654729287361594169745283435982176,25,59,16,0,2,1,1,4,2,Expert,
.36..742....3...7...4..2.1.....2.......4.3..23.....7....2...8.5.4..16...5...7..3.,936157428281349576754862319495721683617483952328695741172934865843516297569278134,25,46,10,0,0,0,0,0,0,Easy,
1.4...7...75...2869...8.......8.7..5.4.5.............1....7.....5.1.49...9.62.4.7,184256739375419286926783154231897645748561392569342871412978563657134928893625417,26,41,14,2,0,0,0,0,0,Intermediate,
..53...2..6...9...1..45.6...9.....84.3....5.....2.8.....46.1.95......16...15.....,745316829362789451189452673296135784438967512517248936824671395953824167671593248,25,39,17,0,0,0,0,0,0,Easy,
..1.8.2...46.5.9.....9..14........1.2.8.35....1......3.2...4.963.......2.6.......,931487265746251938582963147653742819298135674417698523125874396379516482864329751,24,42,15,2,0,0,0,0,0,Intermediate,
..6..47.....79.6.45.......94..............3..15...9...6......13.19.7...2...6.5.9.,926154738381792654547386129462537981798261345153849276675928413819473562234615897,24,30,27,0,0,0,0,0,0,Easy,
.4....8.6...9.3..5...5.......6..4...2..8.5..33.8.97.5.6.....4....2.....7......2.8,543172896861943725927586341756314982294865173318297654635728419182439567479651238,24,42,15,0,0,0,0,0,0,Easy,
8.657...1...6.8....53.91.8..........6.5...83.2.9...7....8.5..1..2.....9.3.....6..,846573921192648573753291486437869152615427839289135764968354217524716398371982645,26,41,14,0,0,0,0,0,0,Easy,
.....58....1.6..43........23...54.....2....1..54.8....84...7251.7.......1.6.....7,439125876721869543568473192317954628982736415654281739843697251275318964196542387,25,95,18,1,1,4,1,9,8,Expert,
....4.....32............4.5...2.19.4.97......1...9.8..3....4.8.2...351..5..98..42,715842693432569718986713425853271964697458231124396857379124586248635179561987342,26,133,24,6,0,0,0,12,16,Expert,
....5.6.....3..895...2........98..2.....6....2....15.9..6.3...884.....5..156..3..,391854672462317895587296134654983721179562483238741569726435918843179256915628347,25,29,27,0,0,0,0,0,0,Easy,
...58426.....7.......3.2.4.84..3...637....5..5.6....1...47.........46.5.6..1.87..,137584269482679135965312847841235976379461528526897413294753681718946352653128794,28,50,3,0,0,0,0,0,0,Easy,
..39...4..7.3....26...7...889.2673...3.........2...5...5...346.9.........64...2..,283916745571384692649572138895267314436158927712439586158723469927641853364895271,26,61,11,1,1,1,1,2,2,Expert,
...........426.....37.916.4.72....5.169...42...3.....97...1.9.3.......62.5....1..,685374291914268735237591684872149356169853427543726819728615943391487562456932178,27,54,0,0,0,0,0,0,0,Simple,
..32...........3.459.1...6..8.69...124.......1.......641.9..52......84.......5..3,863249175721856394594137862387694251246571938159382746418963527635728419972415683,25,50,6,0,0,0,0,0,0,Easy,
7...4..1.......9..13.....6...9.....58..7.6.4.3....9..74..1....6.....5.8.5..9..3.1,796543218284671953135298764679412835852736149341859627423187596917365482568924371,25,43,13,0,0,0,0,0,0,Easy,
3........9.5.27.....258......3..412...8....4...423.9..2..4.........73..1.1....5..,371946852985327416642581397593764128728159643164238975236415789459873261817692534,25,52,29,2,0,1,0,4,4,Expert,
.....1.....49.....9.1..42...7..4.36.3...........2...842...8......9...1.....6..732,563721849724958613981364275872549361345816927196237584257183496639472158418695732,23,51,7,0,0,0,0,0,0,Easy,
...5.7...5..6.3.14..1...7.376.1.........2...1....45.963....9.....42....5....5....,943517268527683914681492753769138542458926371132745896315869427894271635276354189,25,46,10,0,0,0,0,0,0,Easy,
.3...671..28.....3..1.938..5......6.....6..7996.537..1......6.8.....19......7..5.,439826715628715493751493826572189364813264579964537281197352648285641937346978152,28,44,9,0,0,0,0,0,0,Easy,
.............65........87...5.......9..7....3..4..6.9...63...8.4.....9.17.819.4..,619273548287465319543918726351829674962741853874536192196354287425687931738192465,22,49,10,0,0,0,0,0,0,Easy,
3.......6.18.3...7.54......5.6.......73.9.1..19......4...6.17..9..4...1..6..8....,329147856618935427754862931546318279873294165192576384435621798987453612261789543,25,54,2,0,0,0,0,0,0,Easy,
...81....458....2.17............654........63.4..7..8..8.2...1..2..3.7..6......34,263815479458967321179324856832196547715482963946573182387249615524631798691758234,25,39,16,4,0,1,1,1,0,Expert,
..5..8...8.249.1....3...4..7...2..9.5.8.4.3..9.47....5.....98.1.......7........4.,415268739872493156693517428731825694528946317964731285247359861356184972189672543,25,56,0,0,0,0,0,0,0,Simple,
..8.6..1..34..8...9....4.3.......6.......7...6...1.4..1..7.2...4.98....7.279...6.,578263914234198756916574238791425683342687591685319472163752849459836127827941365,25,51,17,4,0,0,0,2,2,Expert,
...487..1........678.1.3.......4.......7.9....4..3196.95.....78.34....5.....9.34.,629487531413952786785163294391645827568729413247831965952314678834276159176598342,27,40,14,0,0,0,0,0,0,Easy,
..9432.....6.1........6.5..2...5.......1.32.67......5..5.64.7.1...5..69...1.2....,579432168386715429124968573263854917945173286718296354852649731437581692691327845,26,74,18,2,0,3,0,6,6,Expert,
.....3.9...3...8.....17....8.7...3...9......6..2..7.19.7....2..1..3.9.6.5.6.1..3.,764823195213596874985174623857961342491235786632487519379648251128359467546712938,25,41,15,0,0,0,0,0,0,Easy,
6...2.9.........7..19.6.............5...37...8......51..2....8...6.91.37.9...65..,675128943248359176319764825934815762521637498867942351152473689486591237793286514,23,55,3,0,0,0,0,0,0,Easy,
4.......3..3.8.46....9...7.7....28....9........6..8..7....69.8.......294...34..1.,481726953973581462562934178714652839859473621326198547147269385635817294298345716,24,41,15,1,0,0,1,1,0,Expert,
.7......6..4.65.38.63...12....4836.......2......1.....1....62.5..68.......8.37...,872314596914265738563798124721483659349652817685179342137946285456821973298537461,26,55,0,0,0,0,0,0,0,Simple,
.5.8.4..11..2...3..83.5..2.34....5.....9........3...9.51...........71.....8...7.2,256834971194267835783159624349712586671985243825346197517428369932671458468593712,24,38,19,0,0,0,0,0,0,Easy,
.7...25..9.....3..1..76.......39.628....25.9...........8.9.......1....37..3.7..5.,876432519942518376135769482517394628468125793329687145784953261251846937693271854,24,42,14,2,1,3,0,1,0,Expert,
1...2..64..6..7............2..61..5..........45......8.1..4.8..3.728.4....837...2,175829364836457129924163785283614957769538241451792638512946873397285416648371592,25,39,17,4,0,0,0,0,0,Intermediate,
.....7.....1.....4...5.....6......17.18..945..7.4....87...6...2...9..5...247.59.1,462897135951632784837541629649258317218379456573416298795163842186924573324785961,26,37,18,0,0,0,0,0,0,Easy,
..4...1.6....3..4.6....8.39..9.....24832.............7..81.9.....164.....9..72...,834925176912736845657418239179584362483267951265391487748159623521643798396872514,25,43,13,3,0,0,0,0,0,Intermediate,
7..58..49.......68......7.2..57..4....4...6.3........7.4..97.3.2..84.9..6...3..8.,716582349429173568538469712385726491174958623962314857841697235253841976697235184,27,53,10,0,0,1,0,3,2,Expert,
..4.5..3.....2.4......9.6853.1....69.4.3......9.68..4.........6..5...1....65.4.2.,964857231853126497127493685371245869648379512592681743489712356235968174716534928,26,52,30,0,0,2,1,2,2,Expert,
.4..16.....5....4.37..........29.....2967513......1....1.4.....25.....7....3.9.5.,842516397195732846376984215581293764429675138637841529913457682254168973768329451,25,55,1,0,0,0,0,0,0,Easy,
1..5.7...39...1...5.....6...56....74......9.8.1..........1.3.4.....6...7.4..7.516,168527439394681725527349681856932174432716958719854263675193842281465397943278516,25,27,29,0,0,0,0,0,0,Easy,
...5.....1.4..25......63.9..............1....28..9...44....6.5.6..18...3.1..3.6.9,869541237134972586527863491971354862346218975285697314493726158652189743718435629,24,46,11,1,0,0,0,0,0,Intermediate,
...65..872....1..5.65...129....8...3.5.....9.....76.51........271.2.3...9........,193652487278941635465837129621589743357124896849376251536418972714293568982765314,26,49,16,4,1,1,0,2,2,Expert,
.924....8..3....7...47....3..1...........271.87...3..9......92......5....5.9..8..,792431568183659472564728193921576384435892716876143259648317925319285647257964831,23,39,19,0,0,0,0,0,0,Easy,
4...5.2.6.3.......6.9.......4...319.17....52.3.......72...4.9.....73.....1.2....5,481359276735462819629817354542673198176984523398125467267548931954731682813296745,25,58,8,0,0,0,0,2,2,Expert,
..2.....59.31.....8..3.6.....8....1.361.2...72..6.5......2.......5.7.6..7....9..3,612847935973152864854396721598734216361928457247615389439261578185473692726589143,25,58,22,4,0,1,0,4,4,Expert,
9..53..2.43.8....5.5..6.1........9....8....1....1.9....6......1...45269.......854,916537428432891765857264139175328946298645317643179582564983271781452693329716854,26,55,0,0,0,0,0,0,0,Simple,
....3.4.......976.5.9......89..........38...61.4...8............83....1.6.59.7.3.,261735489348129765579468321896271543752384196134596872927813654483652917615947238,23,43,15,3,0,0,0,0,0,Intermediate,
26.13.75.....6.3..3..7...166...........279....29.....5.....5......49....57.3....2,268134759157968324394752816681543297435279681729816435943625178812497563576381942,26,37,18,2,0,1,0,0,0,Intermediate,
......5.......4.........41.8..1...3.352..87..4....79....8....5.2..7.1...714.53.8.,143896572527314896986275413879142635352968741461537928638429157295781364714653289,26,55,0,0,0,0,0,0,0,Simple,
.7.......4.....5.....4..8966...1........3..18..37..6.4..1.6...584......13.6..97..,578926143469381527132475896684512379795634218213798654921867435847253961356149782,26,55,0,0,0,0,0,0,0,Simple,
.6..7....3.....8...8...2.....86.....5.9...7.82....8.51...186..7......3...1.9....2,964875123352461879781392645178659234549213768236748951423186597897524316615937482,24,36,21,0,0,0,0,0,0,Easy,
.6..2...11.8...5.........48....5.1..51.............7.6.7...3.6...2.78.344...652..,765824391148639572329517648837456129516792483294381756971243865652178934483965217,26,55,0,0,0,0,0,0,0,Simple,
..56.7.8.......6...8.93....739..6..55..........431........8.....51..34...96..4...,145627983973458621682931547739846215518792364264315798427589136851263479396174852,25,40,16,0,0,0,0,0,0,Easy,
......2.1.1...4...9.5.1.7....859..........9..7.4.......5678...94....65..8.1..5.6.,647359281312874695985612734168597423523468917794231856256783149439126578871945362,26,43,11,0,2,5,0,1,0,Expert,
.5...273..29......4.3.....88..35...7.34.....91.........7..98.2....5.3.8...1......,658912734729834165413765298892351647534627819167489352375198426246573981981246573,25,41,15,0,0,0,0,0,0,Easy,
9.5..41...43..9.5.7.......95.4..3....1.4..3...7...1.....2.........23.9..4.1..8.72,925384167143769258786512439564893721218475396379621845692147583857236914431958672,27,38,16,0,0,0,0,0,0,Easy,
..1....54.53..8.........2..78......5...51..89.....4...3.......2.1.8...9...475.1..,261379854453128976897465231789236415642517389135984627378691542516842793924753168,24,27,30,0,0,0,0,0,0,Easy,
....189..2..5.4.31.....24...8..9..56....4....19..5.38......61..8......2...3......,435718962279564831618932475384291756756843219192657384547326198861479523923185647,25,45,11,0,0,0,0,0,0,Easy,
.63...5.....15....1.....29.4....69.8.2.8..4.1..1....6.9.......3...5.482.......6..,863492517294157386175683294437216958629875431581349762952768143716534829348921675,25,46,18,2,0,3,0,2,2,Expert,
.9.......81...94.73............3.9....1.4.57....6.8.1..6.4.....5.87..69..7......8,497315862815269437326874159254137986681942573739658214963481725548723691172596348,25,47,9,0,0,0,0,0,0,Easy,
.43..69..6.2.5.8...9..7......7.4...8....8......83..62.........6..97.4..2....29.7.,843216957672953841195478263937642518264581739518397624721835496359764182486129375,26,37,17,1,0,2,0,1,0,Expert,
...8.6.7.............7.......2....6.8.3..54..6...9.3.74...879...652..8..2......4.,329856174147923658586714239972438561813675492654192387431587926765249813298361745,24,53,4,0,0,0,0,0,0,Easy,
..8....2..........2.....6...849..........1.3...53....4.1..2...6.2.48.9...49.6...5,938615427467298351251734698384956172672841539195372864813529746526487913749163285,23,40,18,1,0,0,0,0,0,Intermediate,
.9..7...5.3....71....168....7..9.....6.........92.5...68.3...597.35..6..........2,196473285438952716527168493271896534865734921349215867682347159713529648954681372,25,70,20,2,0,1,0,7,8,Expert,
.6...3....538.24.1..7.1.8.5........3....3..87.7..51.2......7..2....2..1.......6.8,861543279953872461427916835295768143146239587378451926514687392689325714732194658,26,51,4,0,0,0,0,0,0,Easy,
...5482.7...32.........9.4.8....2.9..4..1.3.....9..8.192.4..15..3..5...4.....3...,196548237584327619372169548813672495749815362265934871927486153638751924451293786,27,33,20,2,1,0,0,1,0,Expert,
..8.7.2.574..5..3......6...2..1.......3.2....5.4.......8..42..6..6.8........6..57,698374215741259638325816479269137584873425961514698723187542396956783142432961857,24,53,11,3,1,3,0,2,2,Expert,
...4.8..36...1..54........2........1.32...89.51.....3.1....9.4...81.3...9...25...,291458673687312954345697182876934521432571896519286437123869745758143269964725318,25,42,13,1,0,1,0,1,0,Expert,
..5..1...1..3.5.6.86.2...4..82.........4...8.....1....49...3..5..85..6...3.6....4,745861392129345768863297541982756413651432987374918256496123875218574639537689124,25,40,16,0,0,0,0,0,0,Easy,
8.7596......4..3....4.8....5..3...2..426..89...9.4......5.........278.6.7...3....,837596412956421387124783956578319624342657891619842573285164739493278165761935248,26,52,3,0,0,0,0,0,0,Easy,
.9......6..16....37.4........8.....4.3......92...436...7.3...9...3.6..82.891.....,395417826821695743764832915958276134436581279217943658672358491143769582589124367,25,34,22,0,0,0,0,0,0,Easy,
68..79......2...3..1...3...5.612..........8....2...7....86.......13....7...7.5.2.,683579241947261538215843976576128493134957862892436715728614359451392687369785124,23,37,21,2,0,0,0,0,0,Intermediate,
.91.6..7...8.....3.....74..2...........793.6..7..14...4..9...3.....4.......3.628.,391462875748159623625837419213685947584793162976214358467928531832541796159376284,24,52,14,2,0,2,1,2,2,Expert,
.....3....2..........271...9.....5.33..6.4..7..2....4619...7...53....2......9516.,871453692423968751659271384964782513385614927712539846196827435538146279247395168,25,44,12,0,0,0,0,0,0,Easy,
...5..2..9..12...3.8........163..897.7.....6.......32...3..9......25.7....78.153.,734596218965128473281734956516342897372985164849617325153479682698253741427861539,27,42,11,2,1,1,0,1,0,Expert,
..9....8.6..1....2....9......6..2..712.75.3..53....8....58.....89.6..2.....2.9.1.,319427685654138792782596431946382157128754369537961824275813946891645273463279518,26,45,20,3,0,1,0,7,4,Expert,
..6.52..1....682............6..2..5.3....51.9..8........9..38.28.35.......1..79..,936752481415968273287431596164329758372845169598176324759613842823594617641287935,25,54,15,1,0,0,0,3,2,Expert,
.37.6..2.....7.13..1.9....5....1....1..2.53.8..5.......8.79..5.5..8..96...6....83,437561829952478136618923745843617592169245378275389614384796251521834967796152483,28,40,13,0,0,0,0,0,0,Easy,
...3.6..2..8.1.5......85.96.....3......5.97.1....2.8..9....12.7.326.....6.7...3..,759346182468912573213785496591873624824569731376124859985431267132657948647298315,27,43,11,0,0,0,0,0,0,Easy,
4.6.......21..4....8............8.24...6.78.9...54.1.726.8...4.5......12.7.....9.,436981275721354986985276431657198324314627859892543167269815743548739612173462598,26,45,10,0,0,0,0,0,0,Easy,
...36..7...49.....28....3...9..7..6...124....4...8.7..6.....9....81......37..4.1.,159362874374958126286417359893571462761249583425683791612735948548196237937824615,25,39,17,0,0,0,0,0,0,Easy,
..........2.847..3....2.9.725.36........85....8.79.3..948.3.7...3.574............,873159426629847513514623987257361849396485172481792365948236751132574698765918234,27,50,4,3,0,0,0,0,0,Intermediate,
93....6.5..2..1.....6.3..7..1.36....27..........492....9.7....45....6...4..51...7,938274615742651938156938472814367529279185346365492781691723854527846193483519267,26,33,21,1,0,3,0,1,0,Expert,
6......7.578.....3.....2..67.62...5..5..613..23..789..9.....6......1....3....75..,629183475578496213143752896796234158854961327231578964987325641465819732312647589,27,36,16,0,0,2,0,2,0,Expert,
93.5...626...........1.3...2..93...4.7.45..1...........13..6.....9...4.7.2.7.....,931574862657829341842163795285931674376452918194687253713246589569318427428795136,24,38,18,0,2,4,2,1,0,Expert,
39.587....84......75...4..9....38...97.2....58.............51.....1...3..4.97.2..,392587461684391527751624389415738692973216845826459713239865174567142938148973256,26,42,12,4,0,1,0,1,0,Expert,
.91.....65...4....6...3...8.....8.3..4....2.....5.4.1.1..2..6......9.....8....35.,391852476528746193674139528215678934847913265936524817153287649462395781789461352,22,47,12,1,0,7,1,0,0,Intermediate,
8..........7..........9...5..4.8.7....9.32...2.87..45..3...597...6..3....759..6.8,893651247527348169641297385314586792759432816268719453432865971986173524175924638,26,34,21,0,0,0,0,0,0,Easy,
.....7.9.1.2..875...712..8.3...8.4..7.5...2..8.13.2.....8.13...............5.9.2.,483657192162938754957124683326785419795461238841392567578213946219846375634579821,27,39,14,0,0,3,0,1,0,Expert,
172..............26.....1..2.6..5....3.2..75..1..4.....5167.3....35...8........74,172963845345187962689452137296735418834219756517846293451678329723594681968321574,25,44,17,0,0,0,0,2,2,Expert,
9.85...1.5.72......4........71.8.4.........5......4.2.48..1..79.3...9.4.....5.1.2,928543716517296384643871295271985463394627851856134927485312679132769548769458132,26,38,15,3,1,1,0,2,0,Expert,
........3.5...3....4..891...3....4717..4..5............913.5.27..8.91.....5..79..,186524793957613248243789156832956471719438562564172389691345827478291635325867914,26,30,24,0,2,0,0,1,0,Expert,
..........94....15..819.64...17.....9..85..612....9...4.9......617.4..9......5...,136584927794623815528197643841736259973852461265419738459271386617348592382965174,26,43,12,1,0,0,0,0,0,Intermediate,
.73.........9....89..7.86...4.8....9......7.1.....5.4.1...9......5.1.4..7....3.5.,873146925461952378952738614347821569528469731619375842136594287285617493794283156,23,65,32,1,1,5,0,4,4,Expert,
..4.1.........63........2...1.3...2....875.......6...55....28.42.......3.68.475..,824713659957426381136589247615394728492875136783261495579132864241658973368947512,24,41,15,0,0,2,0,1,0,Expert,
......47.81........2.......4....35..362..7..1..12..........8..72..46..5.6853...4.,536819472814725693729634815478193526362547981951286734143958267297461358685372149,26,40,15,0,0,0,0,0,0,Easy,
8...4.6.1.7.............38.2...6.7.....3...9.76.8..1......2.....89....64.3.1.....,825943671376218549941657382294561738518372496763894125657429813189735264432186957,23,39,19,0,0,0,0,0,0,Easy,
......16.7........2..15..93.......5.....2...7.5..9.3411....7....3.4....2..59....4,543279168719368425286154793397841256461523987852796341124687539938415672675932814,24,58,14,3,0,0,0,3,2,Expert,
.85....1....8..6.597.3........26...8......1....2.....6..3...9...5.73..8.21.69..7.,485926317321847695976315842134269758867453129592178436743582961659731284218694573,26,49,18,2,0,0,0,3,2,Expert,
8..12..54......3.2.....5.....1.47..6.7.6.1......3.......64..53.1.2..38......7....,839126754615784392427935618351247986978651423264398175786412539192563847543879261,25,39,16,1,0,0,0,1,0,Expert,
7...8.2.3.54..3..6....6.4..6......51.87....4.5..4..7..43.2...6...63.......1......,769584213254193876318762495643827951187935642592416738435278169926341587871659324,26,56,14,1,1,1,0,2,2,Expert,
....9....25.8...1.....3..6.9....18..8..96.......32.....2...5..41......38..9....56,614597382253846917798132465946751823832964571571328649327685194165479238489213756,24,34,23,0,0,0,0,0,0,Easy,
............49...36.....59...3.6..47....5.........73....62..8..94..7..2.2.7..4..6,795136482821495763634728591583961247479352618162847359356219874948673125217584936,24,53,14,1,0,0,2,2,2,Expert,
3..5.4.71.9.7...2.1...3..8..4...7.....2...8..8.9..3.15...9..........8.....3....92,328594671496781523157632984541867239732159846869243715274916358915328467683475192,25,38,18,1,0,2,0,0,0,Intermediate,
2.17...3.......5...7..3.1.4.....8.....6...7.1..3.1..2813..8.2.78.4..6..3.........,251749836349861572678235194712658349486392751593417628135984267824576913967123485,26,34,20,0,1,1,0,1,0,Expert,
...75...31....2...78..4.......6.15.25.2.....7....8.6...58.......2.5.4.......237..,296758413145392876783146259834671592562439187971285634458967321327514968619823745,25,53,12,0,0,0,0,4,4,Expert,
